ID_Venta,Fecha,País,Ciudad,Cliente,Producto,Categoría,Cantidad,Precio_Unitario,Monto_Total,Medio_Envio,Estado_Envio
1,29122024,Venezuela,Caracas,Ana Pérez,Escritorio,Muebles,4,66.74,266.96,Aéreo,Cancelado
2,592024,Bolivia,Cochabamba,Pedro Sánchez,Teclado,Accesorios,1,1176.02,1176.02,Aéreo,Entregado
3,26102024,Argentina,Buenos Aires,Pedro García,Auriculares,Accesorios,4,1137.66,4550.64,Marítimo,En tránsito
4,432024,Argentina,Córdoba,Carlos García,Silla ergonómica,Muebles,5,438.93,2194.65,Marítimo,Cancelado
5,1382024,Colombia,Bogotá,Pedro Sánchez,Impresora,Oficina,1,426.22,426.22,Marítimo,Pendiente
6,2172024,Uruguay,Montevideo,Pedro Pérez,Monitor,Electrónica,1,543.34,543.34,Marítimo,Pendiente
7,1992024,Brasil,São Paulo,Lucía López,Celular,Electrónica,1,126.52,126.52,Terrestre,Pendiente
8,17122024,Chile,Valparaíso,Laura Rodríguez,Celular,Electrónica,4,972.58,3890.32,Marítimo,Cancelado
9,282024,Paraguay,Ciudad del Este,Pedro Martínez,Tablet,Electrónica,1,67.11,67.11,Marítimo,Pendiente
10,1962024,Brasil,São Paulo,María Martínez,Auriculares,Accesorios,1,66.48,66.48,Aéreo,Entregado
11,1422025,Paraguay,Ciudad del Este,Juan García,Laptop,Electrónica,2,1167.91,2335.82,Terrestre,Pendiente
12,2632025,Colombia,Bogotá,María Martínez,Silla ergonómica,Muebles,4,279.24,1116.96,Marítimo,En tránsito
13,31102024,Venezuela,Maracaibo,Laura Pérez,Laptop,Electrónica,4,253.73,1014.92,Aéreo,En tránsito
14,1462024,Brasil,Rio de Janeiro,Carlos López,Impresora,Oficina,1,92.41,92.41,Aéreo,En tránsito
15,772024,Brasil,Rio de Janeiro,Juan Martínez,Celular,Electrónica,1,787.97,787.97,Aéreo,Cancelado
16,27102024,Brasil,Brasília,Juan Sánchez,Celular,Electrónica,1,982.18,982.18,Aéreo,Cancelado
17,2352024,Bolivia,Santa Cruz,Laura Rodríguez,Monitor,Electrónica,2,277.64,555.28,Aéreo,Entregado
18,2362024,Perú,Arequipa,Laura Rodríguez,Tablet,Electrónica,3,734.62,2203.86,Aéreo,Cancelado
19,2722024,Perú,Cusco,Luis Martínez,Laptop,Electrónica,1,431.73,431.73,Aéreo,Cancelado
20,31122024,Argentina,Buenos Aires,Laura García,Impresora,Oficina,1,107.44,107.44,Aéreo,En tránsito
21,2562024,Bolivia,Santa Cruz,Lucía García,Auriculares,Accesorios,2,988.23,1976.46,Marítimo,Cancelado
22,17122024,Ecuador,Quito,Luis García,Tablet,Electrónica,2,54.21,108.42,Terrestre,Cancelado
23,13102024,Venezuela,Maracaibo,Carlos Martínez,Escritorio,Muebles,5,490.24,2451.2,Marítimo,Entregado
24,3072024,Paraguay,Ciudad del Este,Juan Pérez,Celular,Electrónica,3,671.44,2014.32,Aéreo,En tránsito
25,28122024,Paraguay,Asunción,Juan Martínez,Impresora,Oficina,4,910.53,3642.12,Terrestre,Entregado
26,18112024,Chile,Santiago,Luis López,Impresora,Oficina,4,268.58,1074.32,Aéreo,Entregado
27,1662024,Bolivia,Cochabamba,Juan Sánchez,Cámara,Electrónica,4,469.23,1876.92,Terrestre,En tránsito
