ID_Venta,Fecha,País,Ciudad,Cliente,Producto,Categoría,Cantidad,Precio_Unitario,Monto_Total,Medio_Envio,Estado_Envio
1,29/12/2024,Venezuela,Caracas,Ana Pérez,Escritorio,Muebles,4,66.74,266.96,Aéreo,Cancelado
2,5/9/2024,Bolivia,Cochabamba,Pedro Sánchez,Teclado,Accesorios,1,1176.02,1176.02,Aéreo,Entregado
3,26/10/2024,Argentina,Buenos Aires,Pedro García,Auriculares,Accesorios,4,1137.66,4550.64,Marítimo,En tránsito
4,4/3/2024,Argentina,Córdoba,Carlos García,Silla ergonómica,Muebles,5,438.93,2194.65,Marítimo,Cancelado
5,13/8/2024,Colombia,Bogotá,Pedro Sánchez,Impresora,Oficina,1,426.22,426.22,Marítimo,Pendiente
6,21/7/2024,Uruguay,Montevideo,Pedro Pérez,Monitor,Electrónica,1,543.34,543.34,Marítimo,Pendiente
7,19/9/2024,Brasil,São Paulo,Lucía López,Celular,Electrónica,1,126.52,126.52,Terrestre,Pendiente
8,17/12/2024,Chile,Valparaíso,Laura Rodríguez,Celular,Electrónica,4,972.58,3890.32,Marítimo,Cancelado
9,2/8/2024,Paraguay,Ciudad del Este,Pedro Martínez,Tablet,Electrónica,1,67.11,67.11,Marítimo,Pendiente
10,19/6/2024,Brasil,São Paulo,María Martínez,Auriculares,Accesorios,1,66.48,66.48,Aéreo,Entregado
11,14/2/2025,Paraguay,Ciudad del Este,Juan García,Laptop,Electrónica,2,1167.91,2335.82,Terrestre,Pendiente
12,26/3/2025,Colombia,Bogotá,María Martínez,Silla ergonómica,Muebles,4,279.24,1116.96,Marítimo,En tránsito
13,31/10/2024,Venezuela,Maracaibo,Laura Pérez,Laptop,Electrónica,4,253.73,1014.92,Aéreo,En tránsito
14,14/6/2024,Brasil,Rio de Janeiro,Carlos López,Impresora,Oficina,1,92.41,92.41,Aéreo,En tránsito
15,7/7/2024,Brasil,Rio de Janeiro,Juan Martínez,Celular,Electrónica,1,787.97,787.97,Aéreo,Cancelado
16,27/10/2024,Brasil,Brasília,Juan Sánchez,Celular,Electrónica,1,982.18,982.18,Aéreo,Cancelado
17,23/5/2024,Bolivia,Santa Cruz,Laura Rodríguez,Monitor,Electrónica,2,277.64,555.28,Aéreo,Entregado
18,23/6/2024,Perú,Arequipa,Laura Rodríguez,Tablet,Electrónica,3,734.62,2203.86,Aéreo,Cancelado
19,27/2/2024,Perú,Cusco,Luis Martínez,Laptop,Electrónica,1,431.73,431.73,Aéreo,Cancelado
20,31/12/2024,Argentina,Buenos Aires,Laura García,Impresora,Oficina,1,107.44,107.44,Aéreo,En tránsito
21,25/6/2024,Bolivia,Santa Cruz,Lucía García,Auriculares,Accesorios,2,988.23,1976.46,Marítimo,Cancelado
22,17/12/2024,Ecuador,Quito,Luis García,Tablet,Electrónica,2,54.21,108.42,Terrestre,Cancelado
23,13/10/2024,Venezuela,Maracaibo,Carlos Martínez,Escritorio,Muebles,5,490.24,2451.2,Marítimo,Entregado
24,30/7/2024,Paraguay,Ciudad del Este,Juan Pérez,Celular,Electrónica,3,671.44,2014.32,Aéreo,En tránsito
25,28/12/2024,Paraguay,Asunción,Juan Martínez,Impresora,Oficina,4,910.53,3642.12,Terrestre,Entregado
